species,foragingRate,capture,movementRate,movement,minutes,sociality,gender,dayofseason,flocksizespecies,flocksizeind,indspecies,plot,plotMigrants,plotResidents
Zimmerius chrysops,2.42,3,9,11,1.25,Solitary,NA,5,1,1,,n,,n
Zimmerius chrysops,2.414860681,13,2.6006192,14,5.383333333,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,2.385,3,5,6,1.266666667,Solitary,NA,12,1,1,,n,,n
Zimmerius chrysops,2.333333333,4,6,10,1.716666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,2.142857143,2,4.7142857,11,2.333333333,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,2.142857143,3,4.2857143,6,1.4,Solitary,NA,5,1,1,2,n,,n
Zimmerius chrysops,2.114,2,5,5,0.95,Solitary,NA,24,1,1,,n,,n
Zimmerius chrysops,2.083333333,5,5.4166667,13,2.4,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,1.804511278,4,3.1578947,7,2.216666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,1.35112782,2,7,10,1.483333333,Solitary,NA,33,1,1,,n,,n
Zimmerius chrysops,1,2,16,32,2,Solitary,NA,33,1,1,,n,,n
Zimmerius chrysops,0.927835052,6,1.2371134,8,6.466666667,Solitary,NA,58,1,1,1,n,,n
Zimmerius chrysops,0.905660377,2,5.8867925,13,2.216666667,Solitary,NA,8,1,1,,n,,n
Zimmerius chrysops,0.905660377,4,15,66,4.416666667,Solitary,NA,54,1,1,1,n,,n
Zimmerius chrysops,0.5,1,1.7021277,3,2,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,0.5,1,9,18,2,Solitary,NA,5,1,1,,n,,n
Zimmerius chrysops,0.425531915,1,1.7021277,4,2.35,Solitary,NA,4,1,1,,n,,n
Zimmerius chrysops,0,0,3,3,0.966666667,Solitary,NA,3,1,1,,n,,n
Zimmerius chrysops,0,0,1.9354839,2,1.116666667,Solitary,NA,10,1,1,,n,,n
Zimmerius chrysops,0,0,3,3,0.866666667,Solitary,NA,12,1,1,,n,,n
Zimmerius chrysops,0,0,7,2,0.333333333,Solitary,NA,12,1,1,1,n,,n
Zimmerius chrysops,0,0,8,8,1.033333333,Solitary,NA,11,1,1,1,n,,n
Zimmerius chrysops,0,0,11,4,0.333333333,Solitary,NA,4,1,1,,n,,n
