,true_inc_day,nest_id,code_day,code_night,stage_eggs,date,inc_daily_min,sex,sex_night,inc_daily_h,inc_daynight_min,inc_daynight_h,percentage_attentiveness_nigh_included,percentage_nest attentivess
16,19,P02_AJRC13,i,NA,3,26-Sep-13,370,total_f&m,NA,6.166666667,1119,18.65,77.70833333,51.38888889
17,20,P02_AJRC13,g,e,3,27-Sep-13,218,female,f,3.633333333,954,15.9,66.25,
17,20,P02_AJRC13,h,f,3,27-Sep-13,255,male,m,4.25,255,4.25,17.70833333,
17,20,P02_AJRC13,i,NA,3,27-Sep-13,473,total_f&m,NA,7.883333333,1209,20.15,83.95833333,65.69444444
18,21,P02_AJRC13,g,e,3,28-Sep-13,268,female,f,4.466666667,1040,17.33333333,72.22222221,
18,21,P02_AJRC13,h,f,3,28-Sep-13,217,male,m,3.616666667,217,3.61666667,15.06944446,
18,21,P02_AJRC13,i,NA,3,28-Sep-13,485,total_f&m,NA,8.083333333,1257,20.95,87.29166667,67.36111111
,17,P02_IGZ14,x,x,3,29-Aug-14,262,female,f,4.366666666,683.9999999,11.4,,
,17,P02_IGZ14,x,x,3,29-Aug-14,131.8,male,m,2.196666667,131.8,2.196666667,,
,17,P02_IGZ14,x,x,3,29-Aug-14,393.8,total_f&m,NA,6.563333333,815.8,13.59666667,,54.69444444
,18,P02_IGZ14,x,x,3,30-Aug-14,338,female,f,5.633333333,1056,17.6,,
,18,P02_IGZ14,x,x,3,30-Aug-14,346,male,m,5.766666667,346,5.766666667,,
,18,P02_IGZ14,x,x,3,30-Aug-14,684,total_f&m,NA,11.4,1402,23.36666667,,95
,19,P02_IGZ14,x,x,3,31-Aug-14,309,female,f,5.15,1097,18.28333333,,
,19,P02_IGZ14,x,x,3,31-Aug-14,259.9999999,male,m,4.333333332,259.9999999,4.333333332,,
,19,P02_IGZ14,x,x,3,31-Aug-14,568.9999999,total_f&m,NA,9.483333332,1357,22.61666667,,79.02777777
,20,P02_IGZ14,x,x,3,01-Sep-14,475,female,f,7.916666667,1252,20.86666667,,
,20,P02_IGZ14,x,x,3,01-Sep-14,127,male,m,2.116666667,127,2.116666667,,
,20,P02_IGZ14,x,x,3,01-Sep-14,602,total_f&m,NA,10.03333333,1379,22.98333333,,83.61111112
,21,P02_IGZ14,x,x,3,02-Sep-14,289,female,f,4.816666666,1064,17.73333333,,
,21,P02_IGZ14,x,x,3,02-Sep-14,294,male,m,4.9,294,4.9,,
,21,P02_IGZ14,x,x,3,02-Sep-14,583,total_f&m,NA,9.716666666,1358,22.63333333,,80.97222222
