specie,nest_id,folder,photo,viaje,date,hour,hour_standard,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,true_day,note,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1510-1525,,05-Sep-14,,21,6:49:00,7:04:00,0:15:00,15,0.25,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1525-1531,4,05-Sep-14,,22,7:04:00,7:10:00,0:06:00,6,0.1,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1530-1531,,05-Sep-14,56,22,7:09:00,7:10:00,0:01:00,1,0.016666667,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1531-1532,,05-Sep-14,,22,7:10:00,7:11:00,0:01:00,1,0.016666667,m,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1531-1532,5,05-Sep-14,,22,7:10:00,7:11:00,0:01:00,1,0.016666667,m,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1532-1535,,05-Sep-14,56,22,7:11:00,7:14:00,0:03:00,3,0.05,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1535-1549,,05-Sep-14,,22,7:14:00,7:28:00,0:14:00,14,0.233333333,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1549-1550,6,05-Sep-14,,22,7:28:00,7:29:00,0:01:00,1,0.016666667,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1549-1550,,05-Sep-14,56,22,7:28:00,7:29:00,0:01:00,1,0.016666667,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1550-1613,,05-Sep-14,,22,7:29:00,8:22:00,0:53:00,53,0.883333333,m,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1613-1615,7,05-Sep-14,,23,8:22:00,8:24:00,0:02:00,2,0.033333333,m,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1615-1629,,05-Sep-14,,23,8:24:00,8:38:00,0:14:00,14,0.233333333,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1629-1631,8,05-Sep-14,,23,8:38:00,8:40:00,0:02:00,2,0.033333333,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1631-1643,,05-Sep-14,,23,8:40:00,8:52:00,0:12:00,12,0.2,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1643-1647,9,05-Sep-14,,23,8:52:00,8:56:00,0:04:00,4,0.066666667,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1644-1647,,05-Sep-14,57,23,8:53:00,8:56:00,0:03:00,3,0.05,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1647-1655,,05-Sep-14,,23,8:56:00,9:04:00,0:08:00,8,0.133333333,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1655-1659,10,05-Sep-14,,24,9:04:00,9:08:00,0:04:00,4,0.066666667,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1655-1656,,05-Sep-14,58,24,9:04:00,9:05:00,0:01:00,1,0.016666667,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1659-1702,,05-Sep-14,,24,9:08:00,9:51:00,0:43:00,43,0.716666667,m,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1702-1703,11,05-Sep-14,,24,9:51:00,9:52:00,0:01:00,1,0.016666667,m,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1703-1714,,05-Sep-14,,24,9:52:00,10:03:00,0:11:00,11,0.183333333,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1714-1871,12,05-Sep-14,,25,10:03:00,12:00:00,1:57:00,117,1.95,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1855-1857,,05-Sep-14,60,26,11:54:00,11:56:00,0:02:00,2,0.033333333,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1857-1860,,05-Sep-14,60,26,11:56:00,11:59:00,0:03:00,3,0.05,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1871-1894,,05-Sep-14,,27,12:00:00,12:23:00,0:23:00,23,0.383333333,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1894-1895,13,05-Sep-14,,27,12:23:00,12:24:00,0:01:00,1,0.016666667,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1895-1896,,05-Sep-14,61,27,12:24:00,12:25:00,0:01:00,1,0.016666667,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1896-1909,,05-Sep-14,,27,12:25:00,12:38:00,0:13:00,13,0.216666667,m,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1909-1923,,05-Sep-14,61,27,12:38:00,12:42:00,0:04:00,4,0.066666667,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1923-1973,,05-Sep-14,,27,12:42:00,13:32:00,0:50:00,50,0.833333333,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1973-1996,14,05-Sep-14,,28,13:32:00,13:55:00,0:23:00,23,0.383333333,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1995-1996,,05-Sep-14,62,28,13:54:00,13:55:00,0:01:00,1,0.016666667,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,1996-2002,,05-Sep-14,,28,13:55:00,14:01:00,0:06:00,6,0.1,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2002-2058,15,05-Sep-14,,29,14:01:00,14:57:00,0:56:00,56,0.933333333,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2003-2005,,05-Sep-14,63,29,14:02:00,14:04:00,0:02:00,2,0.033333333,m,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2058-2104,,05-Sep-14,,29,14:57:00,15:43:00,0:46:00,46,0.766666667,m,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2104-2119,16,05-Sep-14,,30,15:43:00,15:48:00,0:05:00,5,0.083333333,m,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2105-2118,,05-Sep-14,64,30,15:44:00,15:47:00,0:03:00,3,0.05,f,Feeding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2119-2174,,05-Sep-14,,30,15:48:00,16:43:00,0:55:00,55,0.916666667,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2174-2184,17,05-Sep-14,,31,16:43:00,16:53:00,0:10:00,10,0.166666667,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2184-2212,,05-Sep-14,,29,14:53:00,17:21:00,2:28:00,148,2.466666667,f,brooding,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2212-2231,18,05-Sep-14,,32,17:21:00,17:40:00,0:19:00,19,0.316666667,f,off,N,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2231-2956,,05-Sep-14,,32,17:40:00,0:00:00,6:20:00,380,6.333333333,f,brooding,Y,4,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2231-2956,,06-Sep-14,,,0:00:00,5:45:00,5:45:00,345,5.75,f,brooding,Y,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2956-2976,1,06-Sep-14,,33,5:45:00,5:55:00,0:10:00,10,0.166666667,f ,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2960-2970,,06-Sep-14,78,33,5:48:04,5:49:00,0:00:56,0.9,0.015,m,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2976-2998,,06-Sep-14,,33,5:55:00,6:16:26,0:21:26,21.4,0.356666667,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2998-3008,2,06-Sep-14,,34,6:16:26,6:18:00,0:01:34,1.5,0.025,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,2998-3008,,06-Sep-14,79,34,6:16:26,6:18:00,0:01:34,1.5,0.025,m,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3008-3028,,06-Sep-14,,34,6:18:00,6:37:00,0:19:00,19,0.316666667,m,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3028-3033,3,06-Sep-14,,34,6:37:00,6:42:00,0:05:00,5,0.083333333,m,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3033-3036,,06-Sep-14,,34,6:42:00,6:45:00,0:03:00,3,0.05,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3036-3039,4,06-Sep-14,,34,6:45:00,6:48:00,0:03:00,3,0.05,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3039-3046,,06-Sep-14,,34,6:48:00,6:55:00,0:07:00,7,0.116666667,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3046-3063,5,06-Sep-14,,34,6:55:00,7:12:00,0:17:00,17,0.283333333,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3063-3068,,06-Sep-14,80,35,7:12:00,7:17:00,0:05:00,5,0.083333333,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3068-3117,,06-Sep-14,,35,7:17:00,8:06:00,0:49:00,49,0.816666667,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3117-3129,6,06-Sep-14,,36,8:06:00,8:18:00,0:12:00,12,0.2,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3129-3130,,06-Sep-14,81,36,8:18:00,8:19:00,0:01:00,1,0.016666667,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3130-3147,,06-Sep-14,,36,8:19:00,8:36:00,0:17:00,17,0.283333333,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3147-3152,7,06-Sep-14,,36,8:36:00,8:41:00,0:05:00,5,0.083333333,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3152-3179,,06-Sep-14,,36,8:41:00,9:08:00,0:27:00,27,0.45,m,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3179-3180,8,06-Sep-14,,37,9:08:00,9:09:00,0:01:00,1,0.016666667,m,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3180-3181,,06-Sep-14,82,37,9:09:00,9:10:00,0:01:00,1,0.016666667,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3181-3230,,06-Sep-14,,37,9:10:00,9:59:00,0:49:00,49,0.816666667,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3230-3375,9,06-Sep-14,,37,9:59:00,11:34:00,1:35:00,95,1.583333333,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3337-3355,,06-Sep-14,84,38,11:21:00,11:24:00,0:03:00,3,0.05,m,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3363-3374,,06-Sep-14,84,38,11:32:00,11:33:00,0:01:00,1,0.016666667,m,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3374-3375,,06-Sep-14,84,38,11:33:00,11:34:00,0:01:00,1,0.016666667,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3375-3409,,06-Sep-14,,38,11:34:00,12:07:00,0:33:00,33,0.55,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3409-3410,,06-Sep-14,85,39,12:07:00,12:08:00,0:01:00,1,0.016666667,m,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3409-3456,10,06-Sep-14,,39,12:07:00,12:55:00,0:48:00,48,0.8,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3456-3470,,06-Sep-14,85,39,12:55:00,12:59:00,0:04:00,4,0.066666667,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3470-3480,,06-Sep-14,,39,12:59:00,13:09:00,0:10:00,10,0.166666667,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3480-3494,11,06-Sep-14,,40,13:09:00,13:23:00,0:14:00,14,0.233333333,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3481-3484,,06-Sep-14,86,40,13:10:00,13:13:00,0:03:00,3,0.05,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3492-3494,,06-Sep-14,86,40,13:21:00,13:23:00,0:02:00,2,0.033333333,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3494-3505,,06-Sep-14,,40,13:23:00,13:34:00,0:11:00,11,0.183333333,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3505-3561,12,06-Sep-14,,40,13:34:00,14:30:00,0:56:00,56,0.933333333,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3557-3561,,06-Sep-14,87,41,14:26:00,14:30:00,0:04:00,4,0.066666667,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3561-3563,,06-Sep-14,,41,14:30:00,14:32:00,0:02:00,2,0.033333333,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3563-3566,13,06-Sep-14,,41,14:32:00,14:35:00,0:03:00,3,0.05,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3564-3566,,06-Sep-14,87,41,14:33:00,14:35:00,0:02:00,2,0.033333333,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3566-3570,,06-Sep-14,,41,14:35:00,14:39:00,0:04:00,4,0.066666667,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3570-3626,14,06-Sep-14,,41,14:39:00,15:25:00,0:46:00,46,0.766666667,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3615-3626,,06-Sep-14,72,42,13:23:20,15:25:00,2:01:40,121,2.016666667,m,uk,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3626-3662,,06-Sep-14,,42,15:25:00,16:01:00,0:36:00,36,0.6,m,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3662-3666,15,06-Sep-14,,42,16:01:00,16:05:00,0:04:00,4,0.066666667,m,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3664-3666,,06-Sep-14,89,42,16:03:00,16:05:00,0:02:00,2,0.033333333,f,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3666-3689,,06-Sep-14,,42,16:05:00,16:28:00,0:23:00,23,0.383333333,f,brooding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3689-3751,16,06-Sep-14,,42,16:28:00,17:30:00,1:02:00,62,1.033333333,f,off,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3691-3696,,06-Sep-14,89,42,16:30:00,16:35:00,0:05:00,5,0.083333333,u,Feeding,N,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3751-4478,,06-Sep-14,,43,17:30:00,0:00:00,6:30:00,390,6.5,f,brooding,Y,5,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,3751-4478,,07-Sep-14,,,0:00:00,5:37:00,5:37:00,337,5.616666667,f,brooding,Y,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4478-4499,17,07-Sep-14,,44,5:37:00,5:58:00,0:21:00,21,0.35,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4498-4499,,07-Sep-14,102,44,5:57:00,5:58:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4499-4517,,07-Sep-14,,44,5:58:00,6:16:00,0:18:00,18,0.3,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4517-4532,18,07-Sep-14,,45,6:16:00,6:31:00,0:15:00,15,0.25,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4531-4532,,07-Sep-14,103,45,6:30:00,6:31:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4532-4546,,07-Sep-14,,45,6:31:00,6:45:00,0:14:00,14,0.233333333,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4546-4574,19,07-Sep-14,,45,6:45:00,7:13:00,0:28:00,28,0.466666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4555-4557,,07-Sep-14,103,45,6:54:00,6:56:00,0:02:00,2,0.033333333,u,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4573-4574,,07-Sep-14,104,46,7:12:00,7:13:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4574-4593,,07-Sep-14,,46,7:13:00,7:32:00,0:19:00,19,0.316666667,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4593-4615,20,07-Sep-14,,46,7:32:00,7:54:00,0:22:00,22,0.366666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4614-4615,,07-Sep-14,104,46,7:53:00,7:54:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4615-4618,,07-Sep-14,,46,7:54:00,7:57:00,0:03:00,3,0.05,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4618-4619,21,07-Sep-14,,46,7:57:00,7:58:00,0:01:00,1,0.016666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4619-4620,,07-Sep-14,104,46,7:58:00,7:59:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4620-4641,,07-Sep-14,,46,7:59:00,8:20:00,0:21:00,21,0.35,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4641-4642,22,07-Sep-14,,47,8:20:00,8:21:00,0:01:00,1,0.016666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4642-4672,,07-Sep-14,,47,8:21:00,8:51:00,0:30:00,30,0.5,m,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4672-4684,,07-Sep-14,105,47,8:51:00,8:53:00,0:02:00,2,0.033333333,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4672-4673,23,07-Sep-14,,47,8:51:00,8:52:00,0:01:00,1,0.016666667,m,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4684-4685,,07-Sep-14,,47,8:53:00,8:54:00,0:01:00,1,0.016666667,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4685-4689,24,07-Sep-14,,47,8:54:00,8:58:00,0:04:00,4,0.066666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4687-4689,,07-Sep-14,105,47,8:56:00,8:58:00,0:02:00,2,0.033333333,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4689-4728,,07-Sep-14,,47,8:58:00,9:37:00,0:39:00,39,0.65,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4728-4758,25,07-Sep-14,,48,9:37:00,9:57:00,0:20:00,20,0.333333333,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4728-4740,,07-Sep-14,106,48,9:37:00,9:42:39,0:05:39,5.8,0.096666667,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4755-4758,,07-Sep-14,106,48,9:55:00,9:57:00,0:02:00,2,0.033333333,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4758-4786,,07-Sep-14,,48,9:57:00,10:25:00,0:28:00,28,0.466666667,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4786-4805,26,07-Sep-14,,49,10:25:00,10:44:00,0:19:00,19,0.316666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4788-4789,,07-Sep-14,107,49,10:27:00,10:28:00,0:01:00,1,0.016666667,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4793-4805,,07-Sep-14,107,49,10:32:00,10:44:00,0:12:00,12,0.2,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4805-4850,,07-Sep-14,,49,10:44:00,11:29:00,0:45:00,45,0.75,m,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4850-4876,27,07-Sep-14,,50,11:29:00,11:45:00,0:16:00,16,0.266666667,m,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4865-4867,,07-Sep-14,108,50,11:34:00,11:36:00,0:02:00,2,0.033333333,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4868-4876,,07-Sep-14,108,50,11:37:00,11:45:00,0:08:00,8,0.133333333,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4876-4894,,07-Sep-14,,50,11:45:00,12:03:00,0:18:00,18,0.3,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4894-4899,28,07-Sep-14,,51,12:03:00,12:08:00,0:05:00,5,0.083333333,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4895-4897,,07-Sep-14,109,51,12:04:00,12:06:00,0:02:00,2,0.033333333,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4898-4899,,07-Sep-14,109,51,12:07:00,12:08:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4899-4936,,07-Sep-14,,51,12:08:00,12:45:00,0:37:00,37,0.616666667,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4936-5045,29,07-Sep-14,,51,12:45:00,14:34:00,1:49:00,109,1.816666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4936-4937,,07-Sep-14,109,51,12:45:00,12:46:00,0:01:00,1,0.016666667,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4965-4975,,07-Sep-14,110,52,13:14:00,13:24:00,0:10:00,10,0.166666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,4975-4976,,07-Sep-14,110,52,13:24:00,13:25:00,0:01:00,1,0.016666667,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5044-5045,,07-Sep-14,111,53,14:33:00,14:34:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5045-5051,,07-Sep-14,,53,14:34:00,14:40:00,0:06:00,6,0.1,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5051-5052,,07-Sep-14,111,53,14:40:00,14:41:00,0:01:00,1,0.016666667,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5051-5138,30,07-Sep-14,,53,14:40:00,16:07:00,1:27:00,87,1.45,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5070-5072,,07-Sep-14,111,53,14:59:00,15:01:00,0:02:00,2,0.033333333,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5137-5138,,07-Sep-14,113,54,16:06:00,16:07:00,0:01:00,1,0.016666667,f,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5138-5148,,07-Sep-14,,54,16:07:00,16:17:00,0:10:00,10,0.166666667,f,brooding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5148-5224,31,07-Sep-14,,54,16:17:00,17:33:00,1:16:00,76,1.266666667,f,off,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5151-5152,,07-Sep-14,113,54,16:20:00,16:21:00,0:01:00,1,0.016666667,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5168-5169,,07-Sep-14,113,54,16:37:00,16:38:00,0:01:00,1,0.016666667,m,Feeding,N,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5224-5952,,07-Sep-14,,55,17:33:00,0:00:00,6:27:00,387,6.45,f,brooding,Y,6,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5224-5952,,08-Sep-14,,,0:00:00,5:41:00,5:41:00,341,5.683333333,f,brooding,Y,7,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5952-6009,1,08-Sep-14,,56,5:41:00,6:28:00,0:47:00,47,0.783333333,f,off,N,7,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,5960-5970,,08-Sep-14,126,56,5:48:31,5:49:00,0:00:29,0.5,0.008333333,m,Feeding,N,7,,,
Isleria hauxwelli,P02_IGZ14,Pollos 04-10 Sep,6009-6013,,08-Sep-14,,57,6:28:00,6:32:00,0:04:00,4,0.066666667,f,brooding,N,7,,,
