specie,nest_id,folder,photo,viaje,date,hour,hour_standard,start_time,final_time,duration,duration_min,duration_h,sex,event,nocturnal_incubation,true_day,note,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4298-4300,3,03-Sep-14,7,2,6:14:00,6:16:00,0:02:00,2,0.033333333,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4300-4301,,03-Sep-14,,2,6:16:00,6:17:00,0:01:00,1,0.016666667,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4301-4320,4,03-Sep-14,,2,6:17:00,6:36:00,0:19:00,19,0.316666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4309-4311,5,03-Sep-14,7,2,6:24:00,6:26:00,0:02:00,2,0.033333333,u,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4320-4342,,03-Sep-14,,2,6:36:00,6:58:00,0:22:00,22,0.366666667,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4342-4343,6,03-Sep-14,,2,6:58:00,6:59:00,0:01:00,1,0.016666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4343-4355,,03-Sep-14,,2,6:59:00,7:11:00,0:12:00,12,0.2,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4355-4367,3,03-Sep-14,,3,7:11:00,7:13:00,0:02:00,2,0.033333333,m,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4355-4367,,03-Sep-14,,3,7:11:00,7:13:00,0:02:00,2,0.033333333,m,visita,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4367-4415,,03-Sep-14,,3,7:13:00,8:01:00,0:48:00,48,0.8,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4415-4417,7,03-Sep-14,9,4,8:01:00,8:03:00,0:02:00,2,0.033333333,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4417-4425,,03-Sep-14,,4,8:03:00,8:11:00,0:08:00,8,0.133333333,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4425-4426,8,03-Sep-14,9,4,8:11:00,8:12:00,0:01:00,1,0.016666667,u,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4425-4442,9,03-Sep-14,,4,8:11:00,8:18:00,0:07:00,7,0.116666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4440-4442,10,03-Sep-14,9,4,8:16:00,8:18:00,0:02:00,2,0.033333333,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4427-4439,4,03-Sep-14,9,4,8:13:00,8:15:00,0:02:00,2,0.033333333,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4442-4469,,03-Sep-14,,4,8:18:00,8:45:00,0:27:00,27,0.45,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4469-4488,11,03-Sep-14,,4,8:45:00,8:54:00,0:09:00,9,0.15,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4469-4471,5,03-Sep-14,9,4,8:45:00,8:47:00,0:02:00,2,0.033333333,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4476-4488,6,03-Sep-14,9,4,8:52:00,8:54:00,0:02:00,2,0.033333333,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4488-4508,,03-Sep-14,,4,8:54:00,9:14:00,0:20:00,20,0.333333333,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4508-4510,7,03-Sep-14,,5,9:14:00,9:16:00,0:02:00,2,0.033333333,m,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4508-4510,12,03-Sep-14,10,5,9:14:00,9:16:00,0:02:00,2,0.033333333,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4510-4581,,03-Sep-14,,5,9:16:00,10:27:00,1:11:00,71,1.183333333,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4581-4582,13,03-Sep-14,,6,10:27:00,10:28:00,0:01:00,1,0.016666667,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4582-4671,,03-Sep-14,,6,10:28:00,11:57:00,1:29:00,89,1.483333333,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4671-4672,8,03-Sep-14,,7,11:57:00,11:58:00,0:01:00,1,0.016666667,m,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4671-4672,14,03-Sep-14,12,7,11:57:00,11:58:00,0:01:00,1,0.016666667,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4672-4700,,03-Sep-14,,7,11:58:00,12:26:00,0:28:00,28,0.466666667,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4700-4708,15,03-Sep-14,,8,12:26:00,12:34:00,0:08:00,8,0.133333333,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4700-4702,9,03-Sep-14,13,8,12:26:00,12:28:00,0:02:00,2,0.033333333,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4702-4708,16,03-Sep-14,13,8,12:28:00,12:34:00,0:06:00,6,0.1,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4708-4747,,03-Sep-14,,8,12:34:00,13:13:00,0:39:00,39,0.65,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4747-4761,17,03-Sep-14,,9,13:13:00,13:27:00,0:14:00,14,0.233333333,f,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4747-4749,10,03-Sep-14,14,9,13:13:00,13:15:00,0:02:00,2,0.033333333,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4761-4814,,03-Sep-14,,9,13:27:00,14:20:00,0:53:00,53,0.883333333,m,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4814-4830,11,03-Sep-14,,10,14:20:00,14:26:00,0:06:00,6,0.1,m ,off,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4816-4827,12,03-Sep-14,15,10,14:22:00,14:23:01,0:01:01,1,0.016666667,m,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4827-4830,18,03-Sep-14,15,10,14:23:01,14:26:00,0:02:59,3,0.05,f,Feeding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4830-4836,,03-Sep-14,,10,14:26:00,14:32:00,0:06:00,6,0.1,f,brooding,N,2,,,
Isleria hauxwelli,P02_IGZ14,Huevos 31-02 y Pollos 02-03 Sep,4836-4840,19,03-Sep-14,,10,14:32:00,14:36:00,0:04:00,4,0.066666667,f,off,N,2,,,
